phi std_phi theta std_theta
14.811 0.621 37.550 0.649
14.722 0.622 35.352 0.623
14.475 0.611 33.154 0.628
14.322 0.605 31.037 0.603
14.123 0.590 28.957 0.584
13.905 0.578 26.988 0.575
13.652 0.589 25.078 0.560
13.410 0.577 23.232 0.540
13.197 0.556 21.406 0.503
12.944 0.578 19.702 0.485
12.706 0.546 18.024 0.475
12.443 0.540 16.448 0.453
12.204 0.526 14.899 0.442
11.933 0.518 13.422 0.414
---
15.916 0.592 78.846 0.562
16.220 0.598 76.836 0.585
16.430 0.607 74.791 0.606
16.630 0.615 72.681 0.602
16.777 0.623 70.487 0.634
17.031 0.620 68.279 0.642
17.137 0.603 66.002 0.673
17.323 0.636 63.667 0.705
17.410 0.640 61.313 0.684
17.438 0.631 58.944 0.693
17.560 0.648 56.521 0.683
17.582 0.644 54.108 0.687
17.589 0.619 51.698 0.708
17.536 0.641 49.266 0.690
17.526 0.630 46.887 0.703
17.404 0.618 44.460 0.703
17.313 0.629 42.153 0.669
17.172 0.626 39.843 0.661
17.027 0.617 37.557 0.651
16.840 0.605 35.380 0.620
16.621 0.594 33.171 0.631
16.398 0.609 31.052 0.618
16.116 0.599 28.975 0.573
15.898 0.581 27.009 0.567
15.656 0.572 25.082 0.546
15.373 0.555 23.192 0.528
15.109 0.558 21.423 0.511
14.881 0.553 19.714 0.487
14.560 0.544 18.075 0.480
14.316 0.543 16.464 0.466
14.007 0.527 14.883 0.442
13.730 0.525 13.447 0.440
---
17.922 0.570 78.820 0.570
18.193 0.578 76.807 0.592
18.467 0.598 74.774 0.615
18.718 0.586 72.689 0.627
18.940 0.595 70.480 0.646
19.108 0.610 68.254 0.644
19.287 0.610 65.998 0.670
19.445 0.618 63.699 0.687
19.581 0.618 61.318 0.687
19.650 0.627 58.940 0.687
19.715 0.600 56.526 0.687
19.757 0.634 54.123 0.679
19.756 0.619 51.661 0.686
19.752 0.615 49.273 0.701
19.656 0.622 46.884 0.676
19.540 0.626 44.493 0.692
19.422 0.617 42.146 0.678
19.275 0.618 39.807 0.655
19.087 0.601 37.540 0.641
18.900 0.607 35.303 0.637
18.699 0.611 33.139 0.619
18.439 0.602 31.049 0.601
18.183 0.580 29.005 0.584
17.867 0.579 26.998 0.550
17.593 0.577 25.062 0.538
17.342 0.550 23.204 0.531
17.004 0.560 21.434 0.505
16.739 0.543 19.688 0.479
16.414 0.520 18.055 0.468
16.099 0.525 16.437 0.468
15.806 0.511 14.917 0.435
15.487 0.532 13.436 0.416
---
19.851 0.567 78.875 0.566
20.143 0.570 76.860 0.598
20.453 0.573 74.777 0.598
20.693 0.579 72.674 0.628
21.003 0.588 70.528 0.635
21.167 0.586 68.232 0.645
21.378 0.591 66.025 0.664
21.512 0.600 63.700 0.667
21.624 0.596 61.303 0.671
21.759 0.601 58.900 0.698
21.870 0.602 56.539 0.704
21.873 0.597 54.122 0.682
21.853 0.601 51.688 0.686
21.826 0.607 49.308 0.699
21.765 0.588 46.910 0.694
21.656 0.593 44.521 0.681
21.541 0.592 42.148 0.686
21.325 0.598 39.790 0.678
21.153 0.594 37.541 0.658
20.956 0.583 35.332 0.624
20.700 0.583 33.128 0.618
20.404 0.586 31.015 0.608
20.147 0.581 28.982 0.579
19.859 0.550 27.012 0.562
19.552 0.549 25.090 0.545
19.220 0.549 23.245 0.529
18.889 0.536 21.436 0.507
18.549 0.533 19.689 0.500
18.188 0.516 18.049 0.489
17.931 0.525 16.421 0.427
17.532 0.499 14.903 0.425
17.206 0.489 13.437 0.421
---
21.758 0.541 78.907 0.551
22.093 0.572 76.846 0.581
22.395 0.560 74.811 0.607
