phi std_phi theta std_theta
-121.724 65.971 77.422 14.395
-125.622 64.172 77.476 13.515
-123.438 69.457 77.913 15.201
-128.689 69.010 77.145 12.238
-127.462 73.016 77.515 14.295
-131.925 69.574 78.050 12.818
-128.330 78.936 78.214 14.141
-129.302 81.974 78.082 13.341
-127.297 85.502 78.294 14.206
-128.128 87.754 78.303 14.334
-123.809 95.967 79.483 16.351
-129.797 91.958 78.917 14.022
-130.428 92.515 78.531 15.001
-115.344 113.442 79.666 15.670
---
-91.307 36.446 76.042 12.638
-94.367 33.832 75.662 12.769
-94.094 40.430 77.008 14.471
-96.926 39.069 76.448 13.627
-99.166 39.566 75.731 13.785
-97.514 46.950 75.462 14.598
-104.639 39.420 75.036 12.688
-104.656 41.248 75.452 13.222
-107.284 41.666 74.494 13.461
-107.114 47.880 74.871 13.975
-112.232 44.740 74.756 12.310
-113.529 45.879 74.207 11.592
-115.156 48.758 74.656 13.368
-116.213 51.403 74.926 13.099
-117.309 55.745 74.973 12.579
-121.846 50.248 74.418 12.184
-123.506 54.210 74.408 11.704
-120.822 64.079 74.912 13.288
-124.675 62.743 75.600 12.613
-125.334 62.997 74.987 13.690
-128.038 62.387 74.861 13.168
-125.538 73.080 74.981 14.114
-128.301 72.937 75.226 13.137
-132.996 68.508 75.516 13.033
-126.539 80.310 76.016 15.306
-124.679 87.655 76.081 14.489
-124.992 89.764 76.969 15.162
-129.166 87.057 75.992 13.407
-118.739 103.382 76.407 15.526
-125.503 94.887 77.435 15.877
-117.100 107.755 76.989 15.724
-123.014 105.893 76.931 14.544
---
-92.554 32.787 74.163 12.915
-92.299 38.794 74.226 14.603
-93.398 42.483 73.923 14.105
-98.059 35.732 73.445 12.888
-97.688 42.588 73.506 13.395
-100.334 41.598 73.333 13.454
-101.660 42.708 73.377 13.546
-101.231 49.270 72.984 14.884
-108.268 41.865 72.579 12.404
-107.856 47.263 72.696 14.036
-111.923 43.350 72.394 12.833
-112.001 50.477 72.620 13.076
-113.817 50.981 72.838 14.151
-117.043 51.010 72.744 13.501
-117.764 56.129 72.873 13.328
-119.452 57.115 72.050 12.934
-121.154 58.648 73.421 13.938
-123.510 59.837 72.614 13.338
-124.239 61.749 73.205 13.484
-129.108 55.212 73.639 13.316
-124.558 69.946 72.949 13.572
-127.926 69.386 72.964 13.328
-129.827 68.927 73.243 13.235
-127.601 74.229 74.099 13.984
-125.180 82.931 73.517 15.402
-129.274 79.061 74.099 15.242
-128.685 85.997 73.931 14.132
-127.382 87.368 74.760 15.594
-121.239 99.980 74.920 14.531
-125.383 96.580 74.904 14.458
-119.579 103.966 74.219 15.499
-125.030 103.111 76.375 15.472
---
-91.021 35.688 72.309 13.685
-93.471 37.942 72.139 13.817
-93.089 41.787 71.854 13.305
-93.718 45.092 71.785 14.620
-98.792 39.499 71.799 13.829
-98.821 45.655 71.128 14.740
-102.942 39.840 71.537 14.203
-102.909 46.451 71.151 14.207
-107.198 41.525 70.150 13.447
-107.944 46.867 70.933 13.481
-108.990 49.094 70.184 12.989
-110.452 52.849 70.617 14.272
-114.892 49.795 70.420 12.600
-116.907 50.264 69.734 13.256
-116.627 55.981 70.593 13.525
-121.227 51.223 70.094 12.770
-123.315 55.828 70.279 12.206
-121.635 62.221 70.462 14.083
-122.291 66.220 70.339 13.097
-127.377 60.806 71.181 13.419
-128.462 64.913 71.426 13.732
-128.878 66.545 70.835 13.574
-124.196 78.503 71.054 14.348
-129.139 74.909 72.293 15.147
-129.526 76.476 71.840 14.749
-126.065 84.004 72.196 15.317
-127.100 86.282 72.976 15.402
-125.221 92.620 71.946 13.951
-128.235 89.758 72.510 14.710
-124.610 99.497 72.956 14.862
-124.221 99.872 73.028 15.307
-115.595 112.907 73.717 15.706
---
-91.458 34.199 70.657 12.770
-94.399 34.503 69.926 13.503
-93.774 40.834 70.186 14.701
-97.761 37.353 69.408 12.750
-100.068 36.602 68.835 13.206
-99.724 44.440 68.614 13.719
-102.146 44.603 69.293 14.189
-106.630 39.009 68.201 13.360
-105.487 45.785 68.801 14.423
-108.576 47.190 68.000 12.764
-107.744 52.349 69.005 14.391
-111.711 50.920 67.756 13.485
-114.776 48.272 68.292 13.582
-116.913 51.981 67.934 12.503
-118.875 51.079 67.914 11.985
-119.643 55.200 68.147 12.762
