phi std_phi theta std_theta
13.709 5.202 17.874 0.941
17.907 4.730 20.196 1.000
21.057 4.072 22.469 0.997
23.758 3.550 24.765 1.034
25.964 3.153 27.105 1.053
27.749 2.902 29.302 1.056
29.236 2.596 31.436 1.067
30.323 2.291 33.428 1.032
31.481 2.135 35.400 1.030
32.251 1.974 37.216 1.046
33.150 1.832 39.056 1.018
33.912 1.780 40.783 1.017
---
-119.131 1.401 38.422 1.199
-118.017 1.492 36.623 1.232
-116.769 1.594 34.729 1.306
-115.345 1.641 32.771 1.360
-113.656 1.698 30.825 1.349
-111.680 1.839 28.700 1.377
-109.183 1.973 26.585 1.438
-106.518 2.076 24.483 1.497
-103.044 2.240 22.307 1.528
-98.646 2.398 20.219 1.562
-93.215 2.676 18.116 1.570
-86.322 3.069 16.182 1.619
-77.635 3.635 14.470 1.673
-66.565 4.611 13.195 1.560
-54.162 5.587 12.499 1.428
-40.623 6.461 12.385 1.255
-27.433 6.923 12.934 1.093
-16.018 6.722 14.036 0.976
-6.965 6.083 15.550 0.905
0.744 5.441 17.367 0.893
6.683 4.834 19.420 0.920
11.410 4.373 21.511 0.962
14.899 3.884 23.638 0.958
17.927 3.387 25.759 0.971
20.526 3.027 27.910 0.968
22.765 2.804 29.966 0.978
24.536 2.500 32.021 0.994
26.110 2.237 34.059 1.047
27.401 2.191 35.890 1.037
28.565 2.058 37.697 1.013
29.640 1.891 39.466 1.014
30.479 1.735 41.164 0.999
---
-115.624 1.376 38.969 1.223
-114.214 1.402 37.206 1.254
-112.806 1.428 35.467 1.240
-111.025 1.524 33.633 1.309
-109.094 1.613 31.725 1.362
-106.854 1.739 29.666 1.389
-104.113 1.783 27.797 1.447
-101.054 1.920 25.701 1.442
-97.152 1.933 23.726 1.551
-92.604 2.146 21.755 1.543
-87.155 2.394 19.981 1.605
-80.450 2.801 18.300 1.603
-72.262 3.264 16.908 1.569
-62.904 3.917 15.884 1.514
-52.455 4.716 15.280 1.427
-41.639 5.156 15.208 1.268
-30.541 5.417 15.609 1.126
-21.123 5.445 16.532 1.012
-12.668 5.204 17.827 0.947
-5.604 4.853 19.360 0.896
0.383 4.487 21.129 0.886
5.545 3.944 23.018 0.922
9.348 3.610 24.976 0.923
12.829 3.273 26.929 0.941
15.821 3.056 28.970 0.964
17.994 2.812 30.959 0.947
20.131 2.534 32.870 0.987
22.027 2.352 34.749 0.984
23.680 2.126 36.549 0.996
24.933 2.018 38.277 0.980
26.251 1.896 39.994 0.980
27.227 1.795 41.616 0.973
---
-112.227 1.246 39.583 1.219
-110.750 1.320 37.923 1.275
-109.060 1.344 36.177 1.303
-107.098 1.407 34.435 1.338
-104.942 1.504 32.732 1.351
-102.431 1.550 30.876 1.381
-99.585 1.636 29.014 1.443
-96.213 1.726 27.133 1.525
-92.194 1.796 25.361 1.541
-87.711 1.980 23.532 1.547
-82.075 2.164 21.941 1.540
-75.808 2.479 20.509 1.527
-68.399 2.936 19.362 1.536
-60.175 3.499 18.482 1.491
-51.162 3.899 17.989 1.346
