phi std_phi theta std_theta
-84.456 2.307 159.573 1.605
-77.544 2.687 161.205 1.596
-69.679 3.188 162.542 1.547
-60.430 3.844 163.442 1.481
-50.504 4.536 163.849 1.362
-40.089 5.011 163.941 1.279
-29.947 5.217 163.396 1.126
-21.142 5.134 162.478 1.017
-13.253 4.903 161.265 0.945
-6.203 4.534 159.717 0.886
-0.733 4.255 158.027 0.904
4.356 3.943 156.114 0.936
8.317 3.538 154.297 0.917
11.692 3.149 152.291 0.982
14.589 2.897 150.356 0.924
17.057 2.742 148.462 0.975
19.131 2.499 146.549 0.957
20.888 2.336 144.793 0.987
22.553 2.136 142.935 0.946
23.965 2.022 141.162 0.999
---
-113.526 1.106 137.266 1.143
-112.233 1.170 138.844 1.182
-110.927 1.189 140.337 1.190
-109.329 1.254 141.973 1.219
-107.548 1.347 143.797 1.309
-105.573 1.395 145.418 1.314
-103.291 1.415 147.205 1.328
-100.654 1.513 149.054 1.443
-97.695 1.613 150.848 1.449
-94.204 1.665 152.686 1.491
-90.168 1.768 154.328 1.527
-85.506 1.968 155.990 1.515
-79.859 2.180 157.607 1.536
-73.492 2.575 158.915 1.601
-66.231 2.855 160.024 1.475
-58.230 3.390 160.828 1.426
-49.887 3.799 161.127 1.374
-40.790 4.280 161.174 1.255
-32.540 4.331 160.796 1.155
-24.489 4.339 160.004 1.045
-17.193 4.246 158.948 0.964
-10.849 4.167 157.633 0.940
-5.188 3.879 156.152 0.922
-0.458 3.696 154.481 0.905
3.637 3.196 152.764 0.909
7.285 3.040 150.967 0.961
10.241 2.887 149.195 0.912
12.903 2.751 147.392 0.931
15.294 2.386 145.584 0.942
17.233 2.328 143.910 0.959
19.073 2.152 142.186 0.970
20.617 1.967 140.522 0.973
---
-110.528 1.032 136.649 1.116
-109.206 1.073 138.165 1.114
-107.652 1.152 139.674 1.188
-105.984 1.185 141.128 1.227
-104.134 1.211 142.813 1.301
-101.952 1.231 144.452 1.285
-99.607 1.364 146.162 1.342
-96.813 1.369 147.742 1.432
-93.676 1.473 149.414 1.424
-90.035 1.573 151.017 1.440
-86.051 1.673 152.679 1.447
-81.459 1.817 154.080 1.471
-76.117 2.032 155.548 1.513
-70.186 2.361 156.631 1.493
-63.718 2.613 157.584 1.444
-56.515 2.963 158.228 1.411
-49.081 3.319 158.557 1.354
-41.391 3.573 158.636 1.227
-33.887 3.724 158.309 1.157
-26.843 3.823 157.645 1.103
-20.312 3.772 156.679 1.024
-14.424 3.711 155.557 0.968
-8.973 3.559 154.217 0.952
-4.501 3.283 152.758 0.922
-0.262 3.048 151.157 0.918
3.391 2.896 149.528 0.933
6.405 2.802 147.916 0.911
9.233 2.557 146.214 0.909
11.580 2.415 144.590 0.915
13.726 2.259 142.911 0.948
15.742 2.076 141.336 0.972
17.318 1.911 139.811 0.899
---
-107.771 0.951 135.901 1.111
-106.334 1.023 137.410 1.181
-104.613 1.069 138.815 1.181
-102.876 1.124 140.318 1.246
-100.868 1.152 141.748 1.288
-98.650 1.188 143.365 1.346
-96.110 1.270 144.862 1.327
-93.275 1.290 146.456 1.402
-90.088 1.330 147.943 1.455
-86.577 1.450 149.405 1.417
-82.521 1.582 150.899 1.461
-78.057 1.719 152.199 1.446
-73.130 1.929 153.327 1.388
-67.578 2.130 154.326 1.450
-61.571 2.409 155.174 1.402
-55.242 2.738 155.768 1.356
-48.591 2.840 156.075 1.269
-41.938 3.095 156.024 1.266
-35.272 3.326 155.826 1.178
-28.917 3.359 155.238 1.048
-22.923 3.362 154.450 1.062
-17.563 3.275 153.399 0.955
-12.383 3.151 152.265 0.921
-7.920 3.066 150.950 0.921
-3.839 2.945 149.496 0.896
-0.286 2.771 148.037 0.957
2.819 2.616 146.573 0.916
5.733 2.379 144.940 0.894
8.253 2.410 143.478 0.914
10.460 2.158 141.903 0.939
12.529 1.930 140.447 0.913
14.396 1.907 138.958 0.921
---
-105.082 0.945 135.298 1.116
-103.508 0.982 136.600 1.204
-101.857 0.998 137.932 1.240
-99.917 0.989 139.270 1.225
-97.808 1.106 140.704 1.267
-95.518 1.118 142.113 1.283
-92.924 1.160 143.592 1.295
-90.108 1.243 145.005 1.310
-86.892 1.312 146.441 1.338
-83.393 1.408 147.822 1.416
-79.499 1.485 149.023 1.418
-75.139 1.687 150.205 1.385
